,date,temp,dew_pt,hum,wind_spd,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,precip_rate,precip_total,cond,fog,rain,snow,hail,thunder,tornado
49,07-01-2018 14:30,81,69,59,3.5,NA,East,2,29.86,NA,NA,NA,NA,NA,,0,0,0,0,0,0
50,07-01-2018 17:30,77,63,52,4.6,NA,ENE,2,29.87,NA,NA,NA,NA,NA,,0,0,0,0,0,0
51,07-01-2018 20:30,71,64,71,0,NA,,2,29.94,NA,NA,NA,NA,NA,,0,0,0,0,0,0
52,07-01-2018 23:30,64,61,88,4.6,NA,NW,1,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
53,08-01-2018 02:30,63,61,90,4.6,NA,NW,1,29.91,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
54,08-01-2018 05:30,61,59,91,4.6,NA,NW,1,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
55,08-01-2018 08:30,63,60,85,4.6,NA,NNW,1,30.04,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
56,08-01-2018 11:30,77,57,39,2.3,NA,North,2,30.02,NA,NA,NA,NA,NA,,0,0,0,0,0,0
57,08-01-2018 14:30,81,60,39,4.6,NA,ENE,2,29.96,NA,NA,NA,NA,NA,,0,0,0,0,0,0
58,08-01-2018 17:30,76,56,40,4.6,NA,NE,2,29.96,NA,NA,NA,NA,NA,,0,0,0,0,0,0
59,08-01-2018 20:30,69,59,64,0,NA,,2,30.01,NA,NA,NA,NA,NA,,0,0,0,0,0,0
60,08-01-2018 23:30,62,56,74,4.6,NA,NNW,2,30.01,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
61,09-01-2018 02:30,60,58,89,3.5,NA,NNW,1,29.98,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
62,09-01-2018 05:30,57,54,88,4.6,NA,NNW,1,30.01,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
63,09-01-2018 08:30,62,56,77,4.6,NA,NNW,1,30.1,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
64,09-01-2018 11:30,75,60,51,4.6,NA,NE,2,30.07,NA,NA,NA,NA,NA,,0,0,0,0,0,0
65,09-01-2018 14:30,79,60,41,6.9,NA,ENE,2,29.97,NA,NA,NA,NA,NA,,0,0,0,0,0,0
66,09-01-2018 17:30,73,59,53,4.6,NA,East,2,29.98,NA,NA,NA,NA,NA,,0,0,0,0,0,0
67,09-01-2018 20:30,68,59,65,0,NA,,2,30.03,NA,NA,NA,NA,NA,,0,0,0,0,0,0
68,09-01-2018 23:30,63,57,75,4.6,NA,NW,2,30.04,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
69,10-01-2018 02:30,62,57,79,4.6,NA,NW,1,30,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
70,10-01-2018 05:30,60,56,84,4.6,NA,NW,1,30.01,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
71,10-01-2018 08:30,62,58,81,4.6,NA,NNW,1,30.09,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
72,10-01-2018 11:30,76,65,60,4.6,NA,ENE,2,30.07,NA,NA,NA,NA,NA,,0,0,0,0,0,0
73,10-01-2018 14:30,80,64,48,6.9,NA,ENE,2,29.98,NA,NA,NA,NA,NA,,0,0,0,0,0,0
74,10-01-2018 17:30,76,62,52,4.6,NA,ENE,2,29.98,NA,NA,NA,NA,NA,,0,0,0,0,0,0
75,10-01-2018 20:30,68,62,76,2.3,NA,NW,2,30.04,NA,NA,NA,NA,NA,,0,0,0,0,0,0
76,10-01-2018 23:30,64,60,83,2.3,NA,NW,1,30.03,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
77,11-01-2018 02:30,63,60,85,4.6,NA,NW,1,30,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
78,11-01-2018 05:30,61,58,85,2.3,NA,NW,1,29.99,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
79,11-01-2018 08:30,63,60,85,4.6,NA,NNW,1,30.05,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
80,11-01-2018 11:30,79,60,42,3.5,NA,SE,2,30.02,NA,NA,NA,NA,NA,,0,0,0,0,0,0
81,11-01-2018 14:30,79,67,57,4.6,NA,SE,2,29.93,NA,NA,NA,NA,NA,,0,0,0,0,0,0
82,11-01-2018 17:30,75,69,77,2.3,NA,SE,2,29.92,NA,NA,NA,NA,NA,,0,0,0,0,0,0
83,11-01-2018 20:30,72,66,75,0,NA,,2,29.97,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
84,11-01-2018 23:30,68,65,87,0,NA,,1,29.97,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
85,12-01-2018 05:30,62,59,88,4.6,NA,NNW,1,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
86,12-01-2018 08:30,64,62,90,4.6,NA,NNW,1,30.01,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
87,12-01-2018 11:30,80,69,60,2.3,NA,ESE,2,29.98,NA,NA,NA,NA,NA,,0,0,0,0,0,0
88,12-01-2018 14:30,81,71,64,2.3,NA,SE,2,29.88,NA,NA,NA,NA,NA,,0,0,0,0,0,0
89,12-01-2018 17:30,76,72,84,4.6,NA,South,2,29.89,NA,NA,NA,NA,NA,,0,0,0,0,0,0
90,12-01-2018 20:30,73,71,92,0,NA,,2,29.96,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
91,12-01-2018 23:30,70,68,91,0,NA,,1,29.96,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
92,13-01-2018 02:30,68,67,94,0,NA,,1,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
93,13-01-2018 05:30,68,67,96,4.6,NA,NW,0,29.94,NA,NA,NA,NA,NA,Heavy Fog,1,0,0,0,0,0
94,13-01-2018 08:30,66,63,88,4.6,NA,NNW,1,30,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
95,13-01-2018 11:30,79,71,69,2.3,NA,NE,2,30,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
